Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:
(u'PREMNATH, G', u'ENG134') -0.0340909090909
(u'PREMNATH, G', u'ENGL45C') -0.0340909090909
(u'HUKKU, S', u'FILMR1A') 0.09375
(u'HUKKU, S', u'FILM1') 0.0
(u'HUKKU, S', u'SCANDINR5B') -0.21875
(u'HUKKU, S', u'FILMR1B') 0.09375
(u'OLESKY, S', u'UGBA132') 0.15625
(u'OLESKY, S', u'UGBA133') -0.46875
(u'OLESKY, S', u'HEDGEA') -0.1875
(u'OLTMAN, M', u'MUSIC144') 1.0
(u'ARCAK, M', u'EE120') 0.1
(u'ARCAK, M', u'EE16B') 0.1
(u'GARCIA BEDOLLA, L', u'EDUC183') 0.375
(u'GARCIA BEDOLLA, L', u'EDU182') 0.375
(u'SWEETSER, E', u'LING123') -0.0769230769231
(u'SWEETSER, E', u'COGSCI101') -0.182692307692
(u'SWEETSER, E', u'LING106') -0.00961538461538
(u'SWEETSER, E', u'LING105') -0.221153846154
(u'SWEETSER, E', u'LING181') 0.0288461538462
(u'SWEETSER, E', u'LINGC105') -0.153846153846
(u'HARRIS, E', u'BIO1B') 0.75
(u'YILMAZ, A', u'MATH202A') 0.166666666667
(u'YILMAZ, A', u'MATH104') 0.125
(u'YILMAZ, A', u'MATH105') 0.0833333333333
(u'PAPADIMITRIOU, C', u'HISTECE') 0.0277777777778
(u'PAPADIMITRIOU, C', u'CS170') 0.152777777778
(u'PAPADIMITRIOU, C', u'CS70') 0.0694444444444
(u'HARRIS, R', u'CHEM') -0.333333333333
(u'HARRIS, R', u'CH120A') 0.0833333333333
(u'HARRIS, R', u'CHEM120A') -0.166666666667
(u'ANDREWS, S', u'EPS80') -0.375
(u'HELLERSTEIN, J', u'CS186') -0.25
(u'HUNTSINGER, R', u'UGBA104') 0.0
(u'COYER, K', u'MC101') 0.0833333333333
(u'COYER, K', u'MASS101') -0.0833333333333
(u'GOLDWASSER, L', u'BIO1B') 0.625
(u'EFRON, J', u'HIST175') 0.0125
(u'EFRON, J', u'HISTC175') 0.00625
(u'EFRON, J', u'HIST175B') -0.0375
(u'EFRON, J', u'HIST159B') 0.025
(u'EFRON, J', u'178175B') 0.025
(u'EFRON, J', u'HOLOCAUST') 0.0125
(u'EFRON, J', u'HIST178') 0.14375
(u'EFRON, J', u'HIST178B') 0.025
(u'EFRON, J', u'MODERNJEWISH') 0.0375
(u'EFRON, J', u'HIS175') 0.025
